Date,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,AMG,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,AGN,ADS,LNT,ALL,GOOGL,GOOG,MO,AMZN,AEE,AAL,AEP,AXP,AIG
2000-01-03,27.481184005737305,6.7300047874450675,,18.25,,1.245553731918335,16.145748138427734,15.5,,29.73133087158203,24.190906524658203,5.521825313568115,44.78596115112305,18.618764877319336,321.25,7.926921844482423,5.670485496520996,15.713411331176758,7.375,,,30.054384231567386,,2.560070753097534,14.771851539611815,,,1.995895743370056,89.375,12.328817367553713,,13.079374313354492,34.86908721923828,1040.7489013671877
2000-01-04,26.389219284057614,6.537721633911133,,17.8125,,1.2076661586761477,14.791295051574707,14.625,,28.55233383178711,22.25727653503418,5.3752946853637695,41.36481094360352,18.05133438110352,300.0,7.827834606170653,5.670485496520996,15.367715835571287,6.9375,,,29.08835411071777,,2.560070753097534,14.300415992736815,,,2.0118637084960938,81.9375,12.328817367553713,,13.235389709472654,33.55249786376953,987.5536499023438
2000-01-05,27.15358543395996,6.525703430175781,,18.0,,1.2124019861221311,15.083735466003418,15.0,,28.85990333557129,21.72244453430176,5.344447135925293,38.79894638061523,18.1577262878418,283.5,7.870299816131593,5.768930912017822,15.084875106811525,7.28125,,,29.62504577636719,,2.68538761138916,14.929001808166506,,,2.001218557357788,69.75,12.805753707885742,,13.729442596435547,32.81894302368164,989.8998413085938
2000-01-06,29.33752632141113,6.7540388107299805,,18.03125,,1.1887223720550537,15.206868171691895,16.0,,29.09056854248047,22.38070106506348,5.452416896820068,37.321624755859375,19.363510131835934,236.125,7.87736701965332,5.965823173522949,14.802031517028807,7.75,,,30.054384231567386,,2.68538761138916,14.85042667388916,,,1.9639623165130613,65.5625,12.758055686950685,,13.807450294494627,33.487564086914055,1020.0966796875
2000-01-07,29.91991806030273,6.826149940490723,,17.9375,,1.2218739986419678,15.945663452148438,16.25,,29.65444374084473,22.91553497314453,5.560385227203369,40.43177032470703,20.711164474487305,248.375,8.167558670043945,5.867378234863281,15.084875106811525,8.25,,,32.14748001098633,,2.721193790435791,15.400445938110352,,,2.0171856880187993,69.5625,12.948830604553224,,13.989466667175293,33.975120544433594,1096.447265625
2000-01-10,29.77433204650879,6.778075218200684,,20.5,,1.2834413051605225,16.561328887939453,17.5,,30.98722839355469,23.49150657653809,5.228765964508057,42.88100051879883,19.4344425201416,285.5,8.026008605957031,5.847690105438232,15.273442268371582,8.28125,,,33.328182220458984,,2.7271616458892822,15.04686164855957,,,2.0437979698181152,69.1875,12.853446006774902,,13.937464714050293,34.448715209960945,1077.0472412109377
2000-01-11,29.264726638793945,6.681935787200928,,19.8125,,1.3402726650238037,15.42234992980957,17.25,,31.14101409912109,23.40922546386719,5.120798587799072,42.2978630065918,18.547836303710934,278.4375,8.026008605957031,5.828001976013184,15.304868698120115,7.5,,,33.113487243652344,,2.721193790435791,15.00757884979248,,,2.0544419288635254,66.75,12.829593658447266,,13.989466667175293,34.76911163330078,1059.52392578125
2000-01-12,29.33752632141113,6.621901512145996,,19.59375,,1.2834413051605225,15.345394134521484,18.125,,31.78176307678223,23.45036506652832,5.035965919494629,41.44256591796875,18.867013931274414,254.0,7.7995219230651855,5.867378234863281,15.084875106811525,7.40625,,,35.15290069580078,,2.751030683517456,15.086145401000975,,,2.065087080001831,63.5625,12.901138305664062,,14.09348201751709,34.588027954101555,1091.4412841796877
2000-01-13,29.33752632141113,6.5611510276794425,,21.0,,1.2976490259170532,16.161148071289062,18.875,,32.320003509521484,24.64345550537109,5.151647090911865,42.06459426879883,18.72515296936035,232.8125,7.785369396209718,5.946136951446532,15.147727966308596,8.71875,,,35.85060119628906,,2.7749011516571045,15.596883773803713,,,2.086376428604126,65.9375,12.948830604553224,,14.067482948303224,34.76911163330078,1121.48046875
2000-01-14,28.91893768310547,6.706954956054688,,21.375,,1.2834413051605225,16.330451965332028,20.1875,,34.139766693115234,25.178285598754886,5.298176765441895,42.53111267089844,18.370512008666992,230.0,7.742902278900146,5.828001976013184,15.242009162902832,8.65625,,,38.31936264038086,,2.7390952110290527,15.204011917114258,,,2.065087080001831,64.25,12.758055686950685,,14.067482948303224,35.54920196533203,1142.133056640625
2000-01-18,28.281965255737305,6.5611510276794425,,26.0,,1.2881770133972168,15.760963439941404,19.5,,31.961185455322266,26.124530792236328,4.935708999633789,44.474952697753906,17.483903884887695,211.5,7.72874641418457,5.7098655700683585,15.273442268371582,8.265625,,,36.762962341308594,,2.721193790435791,15.125438690185547,,,1.9586392641067505,64.125,12.328817367553713,,13.729442596435547,33.780101776123054,1085.1824951171877
2000-01-19,28.77334213256836,6.427499294281006,,24.375,,1.269233465194702,15.54548454284668,19.59375,,32.14060592651367,25.79540252685547,4.642650127410889,43.541908264160156,17.519376754760742,224.75,7.544729232788086,5.729554653167725,15.21058464050293,8.53125,,,37.406986236572266,,2.745062828063965,14.811144828796387,,,1.9905742406845093,66.8125,12.638821601867676,,13.911463737487793,33.195030212402344,1063.9044189453123
2000-01-20,27.699581146240234,6.233095169067383,,23.5,,1.1981942653656006,15.714791297912598,19.5,,31.858665466308594,25.75425910949707,5.020541191101074,42.37560653686523,16.951942443847653,234.0,7.360713005065918,5.65079402923584,15.21058464050293,9.96875,,,36.4946174621582,,2.8524787425994877,14.929001808166506,,,1.92271101474762,64.75,12.59112548828125,,13.75544548034668,33.74526214599609,1054.82958984375
